"","autor","fecha","tweet_id","texto","texto_tokenizado"
"268","Ben Affleck","1585157273","1242865804539858944","The @midnightmission’s meal service lines tripled this past weekend. If you are able to, please join me in donating ➡️ https://t.co/xiGUbXGZ1p https://t.co/UxKdUjFo1M","c(""the"", ""midnightmission"", ""meal"", ""service"", ""lines"", ""tripled"", ""this"", ""past"", ""weekend"", ""if"", ""you"", ""are"", ""able"", ""to"", ""please"", ""join"", ""me"", ""in"", ""donating"", ""➡️"")"
"269","Ben Affleck","1585073793","1242515661428895744","I’m excited to let you all know that @TheWayBackMovie is being released today so more of you can enjoy the film in the comfort and safety of your own home. This story means a lot to me &amp; the entire cast and crew. I hope you are able to watch it. Please stay safe and well. https://t.co/pwDCiGfLTA","c(""excited"", ""to"", ""let"", ""you"", ""all"", ""know"", ""that"", ""thewaybackmovie"", ""is"", ""being"", ""released"", ""today"", ""so"", ""more"", ""of"", ""you"", ""can"", ""enjoy"", ""the"", ""film"", ""in"", ""the"", ""comfort"", ""and"", ""safety"", ""of"", ""your"", ""own"", ""home"", ""this"", ""story"", ""means"", ""lot"", ""to"", ""me"", ""amp"", ""the"", ""entire"", ""cast"", ""and"", ""crew"", ""hope"", ""you"", ""are"", ""able"", ""to"", ""watch"", ""it"", ""please"", ""stay"", ""safe"", ""and"", ""well"")"
"270","Ben Affleck","1584232432","1238986739873546240","During this time, I’m thinking about our most vulnerable - children losing access to meals they rely on, friends and family who are facing job disruptions, the elderly, and low-income families. Join me in supporting @FeedingAmerica: https://t.co/4Cl6Dz2DNX","c(""during"", ""this"", ""time"", ""thinking"", ""about"", ""our"", ""most"", ""vulnerable"", ""children"", ""losing"", ""access"", ""to"", ""meals"", ""they"", ""rely"", ""on"", ""friends"", ""and"", ""family"", ""who"", ""are"", ""facing"", ""job"", ""disruptions"", ""the"", ""elderly"", ""and"", ""low"", ""income"", ""families"", ""join"", ""me"", ""in"", ""supporting"", ""feedingamerica"")"
"271","Ben Affleck","1583865816","1237449039542505472","I want to take this chance to thank everyone who has reached out with their incredible words of support and shared their own positive stories. Thank you for being part of this journey. #TheWayBack","c(""want"", ""to"", ""take"", ""this"", ""chance"", ""to"", ""thank"", ""everyone"", ""who"", ""has"", ""reached"", ""out"", ""with"", ""their"", ""incredible"", ""words"", ""of"", ""support"", ""and"", ""shared"", ""their"", ""own"", ""positive"", ""stories"", ""thank"", ""you"", ""for"", ""being"", ""part"", ""of"", ""this"", ""journey"", ""thewayback"")"
"272","Ben Affleck","1583191744","1234621778711891968","@KellyClarksonTV @Lilly @paulwesley @leslieodomjr @JimmieJohnson @SchittsCreek @alydenisof @TheWayBackMovie @LivTyler See you tomorrow!","c(""kellyclarksontv"", ""lilly"", ""paulwesley"", ""leslieodomjr"", ""jimmiejohnson"", ""schittscreek"", ""alydenisof"", ""thewaybackmovie"", ""livtyler"", ""see"", ""you"", ""tomorrow"")"
"273","Ben Affleck","1583103916","1234253400746811392","@NBA @sixers @LAClippers I had a great time!","c(""nba"", ""sixers"", ""laclippers"", ""had"", ""great"", ""time"")"
"274","Ben Affleck","1583103875","1234253228952322048","Thanks for having me! 🏀 https://t.co/Pk6P2cJ1fG","c(""thanks"", ""for"", ""having"", ""me"")"
"275","Ben Affleck","1582388834","1231254128526909440","It has been a real pleasure to work alongside Gavin O’Connor again. He’s the type of director who pays attention to every detail and nuance of the performance. @TheWayBackMovie is a truly meaningful story for me and it was an honor to bring to life with Gavin. #TheWayBack https://t.co/Y5pdxkr1pD","c(""it"", ""has"", ""been"", ""real"", ""pleasure"", ""to"", ""work"", ""alongside"", ""gavin"", ""connor"", ""again"", ""he"", ""the"", ""type"", ""of"", ""director"", ""who"", ""pays"", ""attention"", ""to"", ""every"", ""detail"", ""and"", ""nuance"", ""of"", ""the"", ""performance"", ""thewaybackmovie"", ""is"", ""truly"", ""meaningful"", ""story"", ""for"", ""me"", ""and"", ""it"", ""was"", ""an"", ""honor"", ""to"", ""bring"", ""to"", ""life"", ""with"", ""gavin"", ""thewayback"")"
"276","Ben Affleck","1582299763","1230880538010894336","Great time hanging out with these legends last night, talking about #TheWayBack and giving me pointers on my free throws! 🏀 @NBAonTNT @SHAQ @TheWayBackMovie https://t.co/WNstDIMB1K","c(""great"", ""time"", ""hanging"", ""out"", ""with"", ""these"", ""legends"", ""last"", ""night"", ""talking"", ""about"", ""thewayback"", ""and"", ""giving"", ""me"", ""pointers"", ""on"", ""my"", ""free"", ""throws"", ""nbaontnt"", ""shaq"", ""thewaybackmovie"")"
"277","Ben Affleck","1582236852","1230616668776230912","#TheWayBack tour continues! Thank you to the great city of Atlanta for giving me the opportunity to share this story with you. @TheWayBackMovie https://t.co/5Ru4xbrttc","c(""thewayback"", ""tour"", ""continues"", ""thank"", ""you"", ""to"", ""the"", ""great"", ""city"", ""of"", ""atlanta"", ""for"", ""giving"", ""me"", ""the"", ""opportunity"", ""to"", ""share"", ""this"", ""story"", ""with"", ""you"", ""thewaybackmovie"")"
"278","Ben Affleck","1582137282","1230199044846301184","Meet the founding class of @SLAMMiaOfficial, kids paving the way to help educate future generations. They provide an innovative secondary educational program, helping college-bound students through emphasis on sports-related majors. It was our honor to support “#TheWayBack Crew” https://t.co/V2JGQv5ZfP","c(""meet"", ""the"", ""founding"", ""class"", ""of"", ""slammiaofficial"", ""kids"", ""paving"", ""the"", ""way"", ""to"", ""help"", ""educate"", ""future"", ""generations"", ""they"", ""provide"", ""an"", ""innovative"", ""secondary"", ""educational"", ""program"", ""helping"", ""college"", ""bound"", ""students"", ""through"", ""emphasis"", ""on"", ""sports"", ""related"", ""majors"", ""it"", ""was"", ""our"", ""honor"", ""to"", ""support"", ""thewayback"", ""crew"")"
"279","Ben Affleck","1582086561","1229986304697368576","Chris and Adrienne, I appreciate you coming tonight, and supporting #TheWayBack @TheWayBackMovie https://t.co/Z5BzLlR680","c(""chris"", ""and"", ""adrienne"", ""appreciate"", ""you"", ""coming"", ""tonight"", ""and"", ""supporting"", ""thewayback"", ""thewaybackmovie"")"
"280","Ben Affleck","1582059946","1229874673510313984","@stephenasmith @FirstTake Thank you!","c(""stephenasmith"", ""firsttake"", ""thank"", ""you"")"
"281","Ben Affleck","1582051514","1.229839304333e+18","Thank you for having us @XavierHS! Good luck with the rest of your season! 🏀 @DianeSawyer https://t.co/KP45ZXibFd","c(""thank"", ""you"", ""for"", ""having"", ""us"", ""xavierhs"", ""good"", ""luck"", ""with"", ""the"", ""rest"", ""of"", ""your"", ""season"", ""dianesawyer"")"
"282","Ben Affleck","1582050194","1229833769982390272","Well sh*t 😂 https://t.co/ur3fzKeasq","c(""well"", ""sh"")"
